StockCode,Description,Month,MonthlySales
47566,PARTY BUNTING,7,10311.150000000001
85099B,JUMBO BAG RED RETROSPOT,12,5639.6
23843,"PAPER CRAFT , LITTLE BIRDIE",12,168469.6
POST,POSTAGE,7,5311.34
M,MANUAL,9,3431.24
85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,5262.500000000001
85099B,JUMBO BAG RED RETROSPOT,2,5191.05
POST,POSTAGE,4,3409.95
47566,PARTY BUNTING,5,13408.249999999998
85099B,JUMBO BAG RED RETROSPOT,8,9697.44
85099B,JUMBO BAG RED RETROSPOT,1,4542.75
85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,4552.740000000001
POST,POSTAGE,12,7190.0
23084,RABBIT NIGHT LIGHT,11,23190.409999999993
85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,8295.119999999999
85099B,JUMBO BAG RED RETROSPOT,3,8496.88
47566,PARTY BUNTING,10,2432.4700000000003
23084,RABBIT NIGHT LIGHT,7,435.20000000000005
84879,ASSORTED COLOUR BIRD ORNAMENT,8,9652.410000000003
POST,POSTAGE,9,5894.5
23166,MEDIUM CERAMIC TOP STORAGE JAR,8,486.09000000000003
85099B,JUMBO BAG RED RETROSPOT,9,7987.8499999999985
POST,POSTAGE,5,13358.75
84879,ASSORTED COLOUR BIRD ORNAMENT,12,5652.049999999997
85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,11597.839999999998
85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,10700.42
85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,14962.050000000001
85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,4401.900000000001
POST,POSTAGE,8,5185.95
84879,ASSORTED COLOUR BIRD ORNAMENT,4,3886.7199999999993
23084,RABBIT NIGHT LIGHT,5,2159.6200000000003
47566,PARTY BUNTING,2,3476.9000000000005
85099B,JUMBO BAG RED RETROSPOT,11,10711.909999999998
23166,MEDIUM CERAMIC TOP STORAGE JAR,10,283.67
M,MANUAL,7,1547.77
M,MANUAL,6,771.11
POST,POSTAGE,3,5325.0
23084,RABBIT NIGHT LIGHT,6,3005.120000000001
M,MANUAL,4,10108.5
22423,REGENCY CAKESTAND 3 TIER,11,11038.740000000002
22423,REGENCY CAKESTAND 3 TIER,9,8570.13
22423,REGENCY CAKESTAND 3 TIER,12,22113.779999999995
84879,ASSORTED COLOUR BIRD ORNAMENT,7,2979.469999999999
POST,POSTAGE,1,5109.0
84879,ASSORTED COLOUR BIRD ORNAMENT,6,2523.64
23166,MEDIUM CERAMIC TOP STORAGE JAR,7,826.94
M,MANUAL,11,2986.32
85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,6777.200000000003
23166,MEDIUM CERAMIC TOP STORAGE JAR,5,869.0400000000001
M,MANUAL,10,21183.629999999997
POST,POSTAGE,6,5510.02
84879,ASSORTED COLOUR BIRD ORNAMENT,9,4866.639999999999
22423,REGENCY CAKESTAND 3 TIER,2,9559.649999999998
85099B,JUMBO BAG RED RETROSPOT,5,6585.199999999998
23166,MEDIUM CERAMIC TOP STORAGE JAR,11,708.11
22423,REGENCY CAKESTAND 3 TIER,7,12174.0
47566,PARTY BUNTING,4,7278.449999999999
M,MANUAL,2,425.33
POST,POSTAGE,10,7993.5
23084,RABBIT NIGHT LIGHT,8,3395.2000000000003
M,MANUAL,3,4912.91
M,MANUAL,5,4302.910000000001
23084,RABBIT NIGHT LIGHT,9,235.14
23166,MEDIUM CERAMIC TOP STORAGE JAR,12,203.51
23166,MEDIUM CERAMIC TOP STORAGE JAR,1,77183.6
